Rank,Name,Score,Finish Time ,Q1 (2),Q2 (4),Q3 (5),Q4 (6)
4165,sarvagy_jain  ,11,1:58:26, 0:41:02, 0:38:10  6, 1:23:26  1,
4166,edddddd  ,11,1:58:37, 0:04:40, 0:12:02  1, 1:23:37  6,
4167,rohit_46  ,11,1:59:04, 0:08:23, 0:55:28  5, 1:29:04  1,
4168,Phoenix__op  ,11,1:59:08, 0:01:37, 0:42:54  9, 0:59:08  3,
4169,Zugzwang03  ,11,1:59:40, 0:02:10, 0:16:40  5, 1:24:40  2,
4170,sonalbibhuti  ,11,2:01:19, 0:15:47, 0:51:02  7, 1:26:19,
4171,Bakaram_Anusha_Reddy  ,11,2:02:13, 0:20:43, 0:51:01  7, 1:27:13,
4172,eScaryNinja17  ,11,2:03:46, 0:03:30, 0:14:26  2, 1:28:46  5,
4173,JacobWetzel  ,11,2:04:33, 0:01:29, 0:31:11  4, 1:29:33  3,
4174,estarriol  ,11,2:04:44, 0:08:25, 0:42:12  5, 1:29:44  2,
4175,aansh0611  ,11,2:04:47, 0:04:48, 0:38:33  8, 1:14:47  2,
4176,solverprogrammer  ,11,2:04:51, 0:32:44, 1:29:51  7, 1:27:49,
4177,RishD789  ,11,2:07:15, 0:12:32, 1:17:18  8, 1:27:15,
4178,donavern  ,11,2:08:10, 0:01:54, 0:05:31  1, 1:28:10  7,
4179,ranaabhishek9897  ,11,2:10:25, 0:15:25, 0:59:41  10, 1:20:25,
4180,Karishma_chaudhary  ,11,2:10:33, 0:10:02, 1:01:24  10, 1:20:33,
4181,tarunbalaji_5  ,11,2:11:45, 0:06:21  1, 0:47:41  7, 1:26:45  1,
4182,Satyam__thakur  ,11,2:12:05, 0:01:43, 0:07:28  1, 1:27:05  8,
4183,Alfie12138  ,11,2:12:38, 0:17:04, 0:52:54  10, 1:22:38,
4184,Shakti_2002  ,11,2:13:02, 0:27:24  2, 0:42:22  8, 1:23:02,
4185,guts1469  ,11,2:17:44, 0:03:58, 0:41:35  12, 1:12:44  1,
4186,hhmcn  ,11,2:19:17, 0:05:56, 0:23:16  1, 1:29:17  9,
4187,pynterest83  ,11,2:20:55, 0:07:00, 0:32:38  8, 1:25:55  3,
4188,ravikumar228910  ,11,2:38:31, 0:12:01  2, 0:17:45  2, 1:23:31  11,
4189,kumkumupreti2  ,11,2:43:01, 0:06:59, 0:09:31  1, 1:08:01  18,
4190,Is_Rishabh  ,11,2:55:42, 0:40:56  9, 1:01:36  11, 1:15:42,
4191,Arpit-Mishra  ,10,1:01:35,, 0:56:50,, 1:01:35
4192,meghanatatiparthi9  ,10,1:11:30,, 1:11:30,, 1:00:23
4193,pedapudimeghana123  ,10,1:27:23,, 1:27:23,, 1:26:48
4194,Jamesbonr00878  ,9,0:48:36,, 0:15:04, 0:48:36,
4195,nooooobbb  ,9,0:49:21,, 0:10:44, 0:49:21,
4196,Rahulverma099  ,9,0:51:48,, 0:41:48, 0:36:36  2,
4197,snehilsrichaitanya  ,9,0:54:34,, 0:16:26  3, 0:39:34,
4198,yesdwdy  ,9,0:55:12,, 0:07:51, 0:55:12,
4199,adityajethwa7781  ,9,0:56:43,, 0:56:43, 0:54:42,
4200,Notsecured  ,9,1:03:54,, 0:33:03  3, 0:48:54,
4201,anonymously_spy  ,9,1:04:31,, 0:21:18  3, 0:49:31,
4202,maihoonprinx  ,9,1:06:13,, 1:06:13, 1:05:00,
4203,21r01a6703  ,9,1:06:48,, 0:51:38, 1:06:48,
4204,21ucs060  ,9,1:10:29,, 0:11:26  1, 1:05:29,
4205,ravi_6969  ,9,1:11:49,, 0:27:08  4, 0:51:49,
4206,21r01a7347  ,9,1:12:08,, 1:12:08, 1:10:02,
4207,kyakarogenam  ,9,1:13:55,, 0:27:14  2, 1:03:55,
4208,shreya12012  ,9,1:19:09,, 0:26:52, 1:14:09  1,
4209,gunasaihari_krishna-2004  ,9,1:22:38,, 1:22:38, 1:20:48,
4210,aksaksaks  ,9,1:23:20,, 0:50:21  2, 1:13:20,
4211,Himanshuu__SHArma  ,9,1:24:04,, 0:19:18  1, 1:19:04,
4212,saipriya04  ,9,1:28:40,, 0:37:02, 1:28:40,
4213,abpj150  ,9,1:38:08,, 0:08:26  1, 1:23:08  2,
4214,usr77  ,9,1:38:51,, 0:42:26  5, 1:13:51,
4215,mecanzee  ,9,1:39:10,, 0:31:07  2, 1:29:10,
4216,2210040115  ,8,1:02:02, 0:14:52,,, 1:02:02
4217,Janagamvaishnavi13  ,8,1:13:20, 0:12:12,,, 1:13:20
4218,johannesforkel  ,8,1:22:29, 0:03:18,,, 1:12:29  2
4219,2210040012  ,8,1:22:48, 0:46:53,,, 1:22:48
4220,amit_yd625  ,8,1:24:53, 1:24:53,,, 1:23:22
4221,2210040063  ,8,1:27:36, 0:46:50,,, 1:27:36
4222,li-wei-ming  ,7,0:32:41, 0:01:53,, 0:32:41,
4223,sahilsuman320208  ,7,0:34:34, 0:02:28,, 0:34:34,
4224,lezy233  ,7,0:40:11, 0:04:22,, 0:40:11,
4225,21r01a67e7  ,7,0:43:12, 0:07:22,, 0:43:12,
4226,godspeed97  ,7,0:47:13, 0:03:54  1,, 0:42:13,
4227,jakonen  ,7,0:49:36, 0:05:49,, 0:49:36,
4228,seekerO11  ,7,0:53:37, 0:08:30,, 0:53:37,
4229,naman05022002  ,7,0:54:35, 0:03:19,, 0:54:35,
4230,khushivaiskyar  ,7,1:02:19, 0:41:17  1,, 0:57:19,
4231,puyushgupta786  ,7,1:02:35, 1:02:35,, 0:49:37,
4232,cse_2100031107  ,7,1:05:24, 0:56:22,, 1:05:24,
4233,2100031234  ,7,1:07:27, 0:55:46,, 1:07:27,
4234,Riturajsingh16  ,7,1:07:43, 0:25:13,, 1:07:43,
4235,adi_aggressive  ,7,1:08:24, 1:08:24,, 1:02:14,
4236,giulio_cellesi  ,7,1:09:32, 0:07:09,, 1:09:32,
4237,Rahul_Jangra  ,7,1:11:50, 0:06:12,, 1:11:50,
4238,bazwalt  ,7,1:13:52, 0:01:30,, 1:13:52,
4239,d0208  ,7,1:17:10, 1:07:10  1,, 0:51:31  1,
4240,Tohitkhan  ,7,1:18:06, 1:16:25,, 1:18:06,
4241,Dazzling_elgar  ,7,1:20:53, 0:03:08,, 1:20:53,
4242,LrSYAE8ZPS  ,7,1:22:49, 0:03:05,, 1:12:49  2,
4243,jiujieqwq  ,7,1:24:18, 0:02:10,, 1:24:18,
4244,ameya__d2  ,7,1:24:46, 0:09:27,, 1:24:46,
4245,tdambrin  ,7,1:25:04, 0:04:49,, 1:25:04,
4246,22h51a0512  ,7,1:26:02, 0:31:36,, 1:26:02,
4247,21R01A04N6-CMRIT25  ,7,1:27:44, 0:51:46,, 1:27:44,
4248,utsavmishra22  ,7,1:28:29, 0:48:50,, 1:28:29,
4249,xenodochial-agnesiudy  ,7,1:28:57, 1:28:57,, 1:25:44,
4250,lorenzowritescode  ,7,1:29:50, 0:03:11,, 1:29:50,
4251,gpt4  ,6,0:01:10, 0:00:43, 0:01:10,,
4252,SeekingTheTruth369  ,6,0:02:48, 0:01:38, 0:02:48,,
4253,0xeix  ,6,0:02:52, 0:01:27, 0:02:52,,
4254,pensive-wescofftgy  ,6,0:02:53, 0:00:42, 0:02:53,,
4255,boring-cartwrightyhj  ,6,0:02:59, 0:02:28, 0:02:59,,
4256,wincss  ,6,0:03:03, 0:03:03, 0:02:20,,
4257,fkf-2  ,6,0:03:11, 0:00:39, 0:03:11,,
4258,cyqjoseph  ,6,0:03:24, 0:02:59, 0:03:24,,
4259,mathcuber  ,6,0:03:31, 0:01:47, 0:03:31,,
4260,sakuyaqwq  ,6,0:03:35, 0:01:25, 0:03:35,,
4261,fan-fan-fan-a9  ,6,0:03:48, 0:01:04, 0:03:48,,
4262,zzczzc004  ,6,0:03:59, 0:01:12, 0:03:59,,
4263,mshaydulin91  ,6,0:04:07, 0:01:35, 0:04:07,,
4264,kk_r_17  ,6,0:04:10, 0:01:38, 0:04:10,,
4265,boring-nightingaleuwz  ,6,0:04:11, 0:02:50, 0:04:11,,
4266,xshzz  ,6,0:04:11, 0:01:58, 0:04:11,,
4267,wxli3388  ,6,0:04:15, 0:04:15, 0:03:32,,
4268,siddharth-kiet  ,6,0:04:16, 0:01:29, 0:04:16,,
4269,BenGil  ,6,0:04:18, 0:01:29, 0:04:18,,
4270,173734014  ,6,0:04:19, 0:01:48, 0:04:19,,
4271,xin-140  ,6,0:04:27, 0:01:17, 0:04:27,,
4272,jendolkk  ,6,0:04:33, 0:01:06, 0:04:33,,
4273,SkookumChoocher  ,6,0:04:41, 0:01:44, 0:04:41,,
4274,joshthwu  ,6,0:04:41, 0:02:22, 0:04:41,,
4275,aadi_2  ,6,0:04:43, 0:01:37, 0:04:43,,
4276,clever-volhardfhm  ,6,0:04:43, 0:01:16, 0:04:43,,
4277,wulikuaifeng  ,6,0:04:48, 0:01:21, 0:04:48,,
4278,CuongAlbert1710  ,6,0:04:49, 0:01:17, 0:04:49,,
4279,dogoryan  ,6,0:04:52, 0:02:39, 0:04:52,,
4280,deepanshgandhi1404  ,6,0:04:53, 0:01:32, 0:04:53,,
4281,OuOPianDog  ,6,0:04:56, 0:01:33, 0:04:56,,
4282,owenhelios  ,6,0:04:57, 0:01:45, 0:04:57,,
4283,RohitSgh  ,6,0:04:58, 0:02:08, 0:04:58,,
4284,madflash  ,6,0:05:00, 0:02:47, 0:05:00,,
4285,WillTsai  ,6,0:05:05, 0:01:20, 0:05:05,,
4286,hua-4s5  ,6,0:05:05, 0:01:54, 0:05:05,,
4287,Rodioo  ,6,0:05:06, 0:02:19, 0:05:06,,
4288,cianotico  ,6,0:05:07, 0:02:12, 0:05:07,,
4289,0_code  ,6,0:05:10, 0:02:12, 0:05:10,,
4290,sharmaharisam  ,6,0:05:11, 0:01:30, 0:05:11,,
4291,zhang-wei-uk  ,6,0:05:11, 0:02:09, 0:05:11,,
4292,intelligent-matsumotop5n  ,6,0:05:12, 0:03:39, 0:05:12,,
4293,nan-you-qiao-mu-69  ,6,0:05:14, 0:02:46, 0:05:14,,
4294,bharath-gowda-571  ,6,0:05:16, 0:04:17, 0:05:16,,
4295,testeryes77  ,6,0:05:17, 0:02:11, 0:05:17,,
4296,code__HARD  ,6,0:05:18, 0:01:42, 0:05:18,,
4297,fuyw  ,6,0:05:18, 0:01:02, 0:05:18,,
4298,bayuajihamengkurahmad9731  ,6,0:05:20, 0:02:43, 0:05:20,,
4299,strange-sammetyy0  ,6,0:05:21, 0:02:10, 0:05:21,,
4300,u77  ,6,0:05:22, 0:02:12, 0:05:22,,
4301,abb10000y  ,6,0:05:22, 0:02:11, 0:05:22,,
4302,Dg_Xzl  ,6,0:05:22, 0:02:20, 0:05:22,,
4303,jasonray0328  ,6,0:05:23, 0:02:27, 0:05:23,,
4304,balaji1207  ,6,0:05:26, 0:03:12, 0:05:26,,
4305,akash_1513  ,6,0:05:26, 0:01:49, 0:05:26,,
4306,cs1g  ,6,0:05:27, 0:02:07, 0:05:27,,
4307,akai97  ,6,0:05:28, 0:02:34, 0:05:28,,
4308,cuongalbert  ,6,0:05:31, 0:02:07, 0:05:31,,
4309,vishal751803  ,6,0:05:31, 0:01:36, 0:05:31,,
4310,ashish_2298744  ,6,0:05:31, 0:02:05, 0:05:31,,
4311,geotags  ,6,0:05:32, 0:01:40, 0:05:32,,
4312,mbeceanu  ,6,0:05:34, 0:02:24, 0:05:34,,
4313,dnl24797  ,6,0:05:34, 0:01:31, 0:05:34,,
4314,avadhijain2004  ,6,0:05:34, 0:02:31, 0:05:34,,
4315,fei-yan-fei  ,6,0:05:41, 0:02:17, 0:05:41,,
4316,v1kstrand  ,6,0:05:42, 0:01:54, 0:05:42,,
4317,akshitbtw  ,6,0:05:46, 0:02:14, 0:05:46,,
4318,xiao-yao-sheng-v  ,6,0:05:48, 0:01:00, 0:05:48,,
4319,vortexofdoom  ,6,0:05:52, 0:02:54, 0:05:52,,
4320,cloudybw  ,6,0:05:56, 0:02:11, 0:05:56,,
4321,DVang  ,6,0:05:58, 0:02:27, 0:05:58,,
4322,priyanshu_p_28  ,6,0:05:58, 0:01:55, 0:05:58,,
4323,tydotcom  ,6,0:05:59, 0:05:48, 0:05:59,,
4324,kuddy  ,6,0:05:59, 0:02:55, 0:05:59,,
4325,marcel3032  ,6,0:06:02, 0:02:06, 0:06:02,,
4326,piocarz  ,6,0:06:02, 0:05:06, 0:06:02,,
4327,vishal_srinivas  ,6,0:06:03, 0:05:55, 0:06:03,,
4328,arorashivamme  ,6,0:06:04, 0:06:04, 0:04:51,,
4329,tian-xie-zuo  ,6,0:06:05, 0:01:32, 0:06:05,,
4330,delicious-hodo  ,6,0:06:05, 0:02:10, 0:06:05,,
4331,rohan_111101001  ,6,0:06:07, 0:06:02, 0:06:07,,
4332,aaa-14  ,6,0:06:07, 0:01:42, 0:06:07,,
4333,kodeturtle11  ,6,0:06:09, 0:02:25, 0:06:09,,
4334,in-certo  ,6,0:06:11, 0:06:11, 0:05:40,,
4335,andy-lc  ,6,0:06:11, 0:02:42, 0:06:11,,
4336,pritmonpara1204  ,6,0:06:14, 0:01:46, 0:06:14,,
4337,tnmaay  ,6,0:06:16, 0:04:18, 0:06:16,,
4338,furina-de-fontaine  ,6,0:06:16, 0:06:16, 0:04:46,,
4339,linvg  ,6,0:06:16, 0:01:22, 0:06:16,,
4340,gsaivishal  ,6,0:06:16, 0:01:54, 0:06:16,,
4341,puneeth_0307  ,6,0:06:16, 0:01:48, 0:06:16,,
4342,wo_pa_lang_fei  ,6,0:06:17, 0:06:17, 0:06:07,,
4343,ssayzx  ,6,0:06:17, 0:01:40, 0:06:17,,
4344,luis_arthur  ,6,0:06:20, 0:03:54, 0:06:20,,
4345,goh29932  ,6,0:06:21, 0:04:22, 0:06:21,,
4346,harshvardhanchand  ,6,0:06:22, 0:02:21, 0:06:22,,
4347,MaratKhakim  ,6,0:06:23, 0:02:25, 0:06:23,,
4348,21bec120  ,6,0:06:23, 0:01:32, 0:06:23,,
4349,Mirror0227  ,6,0:06:26, 0:01:55, 0:06:26,,
4350,soninirav  ,6,0:06:27, 0:03:31, 0:06:27,,
4351,Yogi_249  ,6,0:06:28, 0:01:34, 0:06:28,,
4352,Suryasekhar01  ,6,0:06:29, 0:01:32, 0:06:29,,
4353,cruim  ,6,0:06:30, 0:01:44, 0:06:30,,
4354,RazPatel  ,6,0:06:31, 0:02:19, 0:06:31,,
4355,kotharirahil9  ,6,0:06:32, 0:01:57, 0:06:32,,
4356,krunal_078  ,6,0:06:33, 0:01:24, 0:06:33,,
4357,sutanjoypal  ,6,0:06:34, 0:02:06, 0:06:34,,
4358,vishnubathla  ,6,0:06:35, 0:03:01, 0:06:35,,
4359,lms11  ,6,0:06:36, 0:02:04, 0:06:36,,
4360,satyajeetdas  ,6,0:06:36, 0:02:45, 0:06:36,,
4361,vttt4jajl2  ,6,0:06:39, 0:02:04, 0:06:39,,
4362,kaminenibalaji44  ,6,0:06:39, 0:01:38, 0:06:39,,
4363,Thisaman24  ,6,0:06:41, 0:02:01, 0:06:41,,
4364,anmyeongcheol  ,6,0:06:42, 0:02:00, 0:06:42,,
4365,sentenzo  ,6,0:06:42, 0:03:19, 0:06:42,,
4366,pranay219  ,6,0:06:43, 0:03:31, 0:06:43,,
4367,sad-chaumzdn  ,6,0:06:45, 0:01:19, 0:06:45,,
4368,Karthick_Selvam_17  ,6,0:06:45, 0:02:35, 0:06:45,,
4369,DJShah_1  ,6,0:06:45, 0:01:47, 0:06:45,,
4370,glawk  ,6,0:06:46, 0:02:09, 0:06:46,,
4371,klu_2100031406  ,6,0:06:48, 0:04:09, 0:06:48,,
4372,wangchenmeng09  ,6,0:06:48, 0:01:45, 0:06:48,,
4373,Divya_khilari  ,6,0:06:48, 0:01:32, 0:06:48,,
4374,randid  ,6,0:06:50, 0:03:37, 0:06:50,,
4375,bilalsaad  ,6,0:06:51, 0:01:58, 0:06:51,,
4376,nakir24  ,6,0:06:53, 0:02:50, 0:06:53,,
4377,ani_sj  ,6,0:06:54, 0:02:41, 0:06:54,,
4378,joejoe12342003  ,6,0:06:54, 0:04:18, 0:06:54,,
4379,prod1  ,6,0:06:54, 0:02:37, 0:06:54,,
4380,wei316  ,6,0:06:54, 0:01:30, 0:06:54,,
4381,mei-304  ,6,0:06:55, 0:01:09, 0:06:55,,
4382,pochunhuang1107  ,6,0:06:55, 0:02:02, 0:06:55,,
4383,keshuigu  ,6,0:06:56, 0:01:22, 0:06:56,,
4384,ShriApoorv  ,6,0:06:56, 0:01:44, 0:06:56,,
4385,ks811489  ,6,0:06:57, 0:03:47, 0:06:57,,
4386,_Zeus_  ,6,0:06:57, 0:03:16, 0:06:57,,
4387,aIkNVYH3CJ  ,6,0:06:59, 0:01:01, 0:06:59,,
4388,ni-hao-45  ,6,0:06:59, 0:02:36, 0:06:59,,
4389,mrskys156  ,6,0:06:59, 0:02:16, 0:06:59,,
4390,rishabh_0204  ,6,0:07:00, 0:02:31, 0:07:00,,
4391,TigProg  ,6,0:07:00, 0:04:27, 0:07:00,,
4392,Saipavan_op  ,6,0:07:00, 0:07:00, 0:05:07,,
4393,roush_70700  ,6,0:07:00, 0:02:10, 0:07:00,,
4394,saxenarishabh30  ,6,0:07:03, 0:02:05, 0:07:03,,
4395,Harshal_gupta  ,6,0:07:05, 0:07:05, 0:05:30,,
4396,Tushit_shukla  ,6,0:07:07, 0:02:39, 0:07:07,,
4397,aspiringquant  ,6,0:07:07, 0:02:55, 0:07:07,,
4398,treeleaves30760  ,6,0:07:08, 0:02:41, 0:07:08,,
4399,AndrewQiao  ,6,0:07:09, 0:02:20, 0:07:09,,
4400,amanjoshi149  ,6,0:07:09, 0:02:07, 0:07:09,,
4401,shiv992658  ,6,0:07:09, 0:07:09, 0:05:31,,
4402,PARANOID_XD  ,6,0:07:13, 0:01:42, 0:07:13,,
4403,arunkumarpotnuru  ,6,0:07:18, 0:01:44, 0:07:18,,
4404,itzmytym  ,6,0:07:18, 0:02:45, 0:07:18,,
4405,pickol876  ,6,0:07:18, 0:02:54, 0:07:18,,
4406,prit_12  ,6,0:07:18, 0:07:18, 0:07:02,,
4407,cutexin66  ,6,0:07:19, 0:03:52, 0:07:19,,
4408,05_aditya_aggarwal_03  ,6,0:07:19, 0:02:49, 0:07:19,,
4409,vivekk99  ,6,0:07:20, 0:01:55, 0:07:20,,
4410,Abhinav_54  ,6,0:07:20, 0:02:47, 0:07:20,,
4411,scranton_strangler721  ,6,0:07:21, 0:02:46, 0:07:21,,
4412,aa506  ,6,0:07:23, 0:06:08, 0:07:23,,
4413,Satyam1782  ,6,0:07:23, 0:02:31, 0:07:23,,
4414,ex7763  ,6,0:07:25, 0:01:26, 0:07:25,,
4415,lucky1305  ,6,0:07:25, 0:02:10, 0:07:25,,
4416,napan  ,6,0:07:26, 0:02:07, 0:07:26,,
4417,chitranshanand1207  ,6,0:07:28, 0:02:50, 0:07:28,,
4418,Bnwhite  ,6,0:07:28, 0:02:59, 0:07:28,,
4419,KlaymoreKD  ,6,0:07:29, 0:01:44, 0:07:29,,
4420,user4248Kt  ,6,0:07:31, 0:03:36, 0:07:31,,
4421,rajsinghsudhanshu930  ,6,0:07:31, 0:02:58, 0:07:31,,
4422,AldyDPP  ,6,0:07:32, 0:02:08, 0:07:32,,
4423,samyakhappy9  ,6,0:07:35, 0:01:59, 0:07:35,,
4424,elastic-kovvalevskismn  ,6,0:07:35, 0:07:35, 0:05:40,,
4425,_BREEZE_  ,6,0:07:36, 0:02:10, 0:07:36,,
4426,Sacha_924  ,6,0:07:36, 0:04:45, 0:07:36,,
4427,spryzen_v3  ,6,0:07:37, 0:07:37, 0:06:05,,
4428,Sarath191181208  ,6,0:07:37, 0:03:05, 0:07:37,,
4429,Megh_nad  ,6,0:07:38, 0:03:12, 0:07:38,,
4430,sveng101  ,6,0:07:38, 0:04:24, 0:07:38,,
4431,k_halder20  ,6,0:07:38, 0:03:48, 0:07:38,,
4432,virenkathiriya  ,6,0:07:38, 0:07:38, 0:06:14,,
4433,CallMeGabe  ,6,0:07:39, 0:06:02, 0:07:39,,
4434,ntdat723  ,6,0:07:40, 0:02:47, 0:07:40,,
4435,newbieiiiammmm  ,6,0:07:41, 0:02:09, 0:07:41,,
4436,CODEX47  ,6,0:07:42, 0:01:55, 0:07:42,,
4437,imJay9_  ,6,0:07:43, 0:02:39, 0:07:43,,
4438,storm__Cluster  ,6,0:07:43, 0:01:59, 0:07:43,,
4439,yudhish23  ,6,0:07:44, 0:02:55, 0:07:44,,
4440,sairamyadhav3  ,6,0:07:45, 0:03:01, 0:07:45,,
4441,upbeat-heisenbergjm2  ,6,0:07:46, 0:02:36, 0:07:46,,
4442,Sharky1507  ,6,0:07:46, 0:04:23, 0:07:46,,
4443,mannigfaltigkeit3264  ,6,0:07:46, 0:07:46, 0:06:05,,
4444,Lexicon_10  ,6,0:07:47, 0:02:12, 0:07:47,,
4445,shivam_bansal11  ,6,0:07:48, 0:01:48, 0:07:48,,
4446,Xana  ,6,0:07:49, 0:02:19, 0:07:49,,
4447,shen-cang-noblue  ,6,0:07:49, 0:02:03, 0:07:49,,
4448,kimkapitan  ,6,0:07:51, 0:04:28, 0:07:51,,
4449,lackBLACK  ,6,0:07:51, 0:02:27, 0:07:51,,
4450,pjdvoyager  ,6,0:07:52, 0:02:15, 0:07:52,,
4451,curiousmonkeys  ,6,0:07:53, 0:07:53, 0:06:45,,
4452,codemonkey66  ,6,0:07:54, 0:07:54, 0:07:48,,
4453,AnimeshTalukdar  ,6,0:07:54, 0:04:31, 0:07:54,,
4454,4irmelt  ,6,0:07:57, 0:02:57  1, 0:02:00,,
4455,swatishivam23  ,6,0:07:59, 0:03:10, 0:07:59,,
4456,milearares77  ,6,0:07:59, 0:04:54, 0:07:59,,
4457,condescending-bellvwm  ,6,0:08:01, 0:01:37, 0:08:01,,
4458,nayan_abhi  ,6,0:08:03, 0:03:23, 0:08:03,,
4459,ng-heng-8o  ,6,0:08:03, 0:01:59, 0:08:03,,
4460,justtestingn  ,6,0:08:04, 0:05:10, 0:08:04,,
4461,kml123  ,6,0:08:05, 0:04:22, 0:08:05,,
4462,1_Abhinav_Kumar_1105  ,6,0:08:06, 0:02:16, 0:08:06,,
4463,AhKpJ8fHGS  ,6,0:08:06, 0:01:44, 0:08:06,,
4464,n11t2h79ette  ,6,0:08:07, 0:03:47, 0:08:07,,
4465,pratikstemkar  ,6,0:08:08, 0:02:59, 0:08:08,,
4466,2riya  ,6,0:08:09, 0:02:29, 0:08:09,,
4467,b0968760387  ,6,0:08:09, 0:02:00, 0:08:09,,
4468,praveenkumarm1  ,6,0:08:10, 0:02:23, 0:08:10,,
4469,dewangantaresh  ,6,0:08:10, 0:01:45, 0:08:10,,
4470,harsh428  ,6,0:08:11, 0:03:25, 0:08:11,,
4471,stler4j  ,6,0:08:16, 0:01:56, 0:08:16,,
4472,priyanshu3107  ,6,0:08:17, 0:08:17, 0:07:48,,
4473,huzaifa7923  ,6,0:08:18, 0:04:01, 0:08:18,,
4474,utsav_kasvala  ,6,0:08:19, 0:08:19, 0:07:18,,
4475,_shivam_kh_007  ,6,0:08:19, 0:01:32, 0:08:19,,
4476,Preditor  ,6,0:08:20, 0:02:29, 0:08:20,,
4477,pbelskiy  ,6,0:08:21, 0:04:04, 0:08:21,,
4478,Per48edjes  ,6,0:08:23, 0:02:56, 0:08:23,,
4479,code_ankitpandey  ,6,0:08:24, 0:03:38, 0:08:24,,
4480,arnavwinner  ,6,0:08:24, 0:01:25, 0:08:24,,
4481,84SiddhantGupta  ,6,0:08:24, 0:01:30, 0:08:24,,
4482,Nhatthang27  ,6,0:08:24, 0:01:37, 0:08:24,,
4483,singhsourav73  ,6,0:08:26, 0:03:36, 0:08:26,,
4484,Montju  ,6,0:08:27, 0:02:11, 0:08:27,,
4485,capvairab  ,6,0:08:27, 0:04:05, 0:08:27,,
4486,THEALPHAHYBRID  ,6,0:08:27, 0:02:12, 0:08:27,,
4487,shashankbhake123  ,6,0:08:27, 0:04:06, 0:08:27,,
4488,Sanat04  ,6,0:08:28, 0:03:18, 0:08:28,,
4489,Google_Ka_Dinosaur  ,6,0:08:28, 0:03:15, 0:08:28,,
4490,Zzyzx38  ,6,0:08:28, 0:01:54, 0:08:28,,
4491,ShraddhaGoyal  ,6,0:08:30, 0:02:10, 0:08:30,,
4492,tdkkdt  ,6,0:08:30, 0:08:30, 0:07:12,,
4493,Lhy121125  ,6,0:08:30, 0:03:33, 0:08:30,,
4494,osxyz  ,6,0:08:33, 0:04:31, 0:08:33,,
4495,mukesh24  ,6,0:08:35, 0:02:15, 0:08:35,,
4496,hato-8  ,6,0:08:35, 0:03:53, 0:08:35,,
4497,sakd23  ,6,0:08:35, 0:02:14, 0:08:35,,
4498,someday-7k  ,6,0:08:35, 0:04:25, 0:08:35,,
4499,StepDan23  ,6,0:08:37, 0:03:14, 0:08:37,,
4500,Auberon  ,6,0:08:38, 0:03:50, 0:08:38,,
4501,Himinsi  ,6,0:08:39, 0:03:43, 0:08:39,,
4502,viresh_dev  ,6,0:08:40, 0:04:01, 0:08:40,,
4503,xiao-lin-baby  ,6,0:08:41, 0:00:43, 0:03:41  1,,
4504,JTibs18  ,6,0:08:41, 0:02:44, 0:08:41,,
4505,AntonPolyansky  ,6,0:08:41, 0:04:51, 0:08:41,,
4506,weerwaart  ,6,0:08:43, 0:04:50, 0:08:43,,
4507,sauravrajbitu  ,6,0:08:43, 0:02:09, 0:08:43,,
4508,abhi_anand987  ,6,0:08:44, 0:02:37, 0:08:44,,
4509,visionarymv  ,6,0:08:44, 0:08:44, 0:07:41,,
4510,DivyanshuS  ,6,0:08:44, 0:03:54, 0:08:44,,
4511,murphyhuangy  ,6,0:08:44, 0:04:40, 0:08:44,,
4512,rn5055  ,6,0:08:45, 0:03:08, 0:08:45,,
4513,jyoshna_570  ,6,0:08:45, 0:01:52, 0:08:45,,
4514,j1r4ch1  ,6,0:08:45, 0:02:52, 0:08:45,,
4515,acvv_nickdd  ,6,0:08:46, 0:00:40, 0:03:46  1,,
4516,timchen10001  ,6,0:08:46, 0:08:34, 0:08:46,,
4517,kai-bi  ,6,0:08:46, 0:05:15, 0:08:46,,
4518,bikrant-gupta  ,6,0:08:47, 0:03:09, 0:08:47,,
4519,ngducanh1611  ,6,0:08:48, 0:04:50, 0:08:48,,
4520,__Abcd__  ,6,0:08:48, 0:02:35, 0:08:48,,
4521,lorenzo-salvemini  ,6,0:08:48, 0:03:27, 0:08:48,,
4522,the-count-of-monte-crist  ,6,0:08:50, 0:02:15, 0:08:50,,
4523,mav_eric  ,6,0:08:50, 0:05:07, 0:08:50,,
4524,cty945  ,6,0:08:51, 0:04:48, 0:08:51,,
4525,sahanilxm  ,6,0:08:51, 0:02:29, 0:08:51,,
4526,single_six  ,6,0:08:52, 0:08:52, 0:07:28,,
4527,pgangwar180702  ,6,0:08:52, 0:03:15, 0:08:52,,
4528,Nivin_Samuel  ,6,0:08:53, 0:07:04, 0:08:53,,
4529,Mcparab  ,6,0:08:53, 0:02:05, 0:08:53,,
4530,qiu-tian-21bian-17  ,6,0:08:55, 0:05:03, 0:08:55,,
4531,VisheshMittal  ,6,0:08:58, 0:02:31, 0:08:58,,
4532,bibhudattapanigrahi0  ,6,0:08:58, 0:03:58, 0:08:58,,
4533,Devansh__633  ,6,0:08:58, 0:01:33, 0:08:58,,
4534,Rishi_Tiku  ,6,0:08:59, 0:03:38, 0:08:59,,
4535,shivi12_soni  ,6,0:09:00, 0:02:08, 0:09:00,,
4536,coder_teja  ,6,0:09:01, 0:04:37, 0:09:01,,
4537,Ajosonn  ,6,0:09:01, 0:04:16, 0:09:01,,
